report_id,comment_id,account_id,report_reason,reported_at,reporter_type
REP-000001,COM-000012,ACC-000003,spam,2026-02-08 13:33:54,automated_system
REP-000002,COM-000025,ACC-000005,spam,2026-05-31 23:53:13,automated_system
REP-000003,COM-000032,ACC-000005,spam,2026-06-02 17:07:29,automated_system
REP-000004,COM-000032,ACC-000005,spam,2026-05-31 03:32:06,user
REP-000005,COM-000032,ACC-000005,spam,2026-06-02 00:45:41,automated_system
REP-000006,COM-000035,ACC-000005,misinformation,2026-05-30 20:52:47,user
REP-000007,COM-000038,ACC-000005,spam,2026-06-03 08:46:29,automated_system
REP-000008,COM-000044,ACC-000005,misinformation,2026-05-31 15:44:50,user
REP-000009,COM-000045,ACC-000005,misinformation,2026-05-28 15:20:53,user
REP-000010,COM-000045,ACC-000005,misinformation,2026-05-29 12:46:59,automated_system
REP-000011,COM-000046,ACC-000005,spam,2026-05-30 10:09:21,automated_system
REP-000012,COM-000052,ACC-000005,misinformation,2026-06-01 03:42:35,user
REP-000013,COM-000056,ACC-000005,misinformation,2026-05-31 04:29:54,automated_system
REP-000014,COM-000057,ACC-000005,spam,2026-05-31 19:47:11,automated_system
REP-000015,COM-000060,ACC-000005,spam,2026-06-01 02:19:40,trusted_flagger
REP-000016,COM-000066,ACC-000007,hate_speech,2025-09-25 11:14:57,user
REP-000017,COM-000066,ACC-000007,hate_speech,2025-09-24 13:12:28,user
REP-000018,COM-000070,ACC-000007,hate_speech,2025-02-07 10:25:42,automated_system
REP-000019,COM-000071,ACC-000007,harassment,2025-04-14 17:46:43,automated_system
REP-000020,COM-000073,ACC-000007,harassment,2025-06-12 16:50:37,user
REP-000021,COM-000073,ACC-000007,harassment,2025-06-13 12:44:16,automated_system
REP-000022,COM-000073,ACC-000007,harassment,2025-06-15 08:59:32,user
REP-000023,COM-000073,ACC-000007,hate_speech,2025-06-12 03:33:56,user
REP-000024,COM-000074,ACC-000007,hate_speech,2025-12-03 06:49:15,user
REP-000025,COM-000133,ACC-000019,fake_engagement,2026-05-31 00:10:35,user
REP-000026,COM-000133,ACC-000019,fake_engagement,2026-05-29 13:50:04,automated_system
REP-000027,COM-000134,ACC-000019,fake_engagement,2026-05-30 17:24:55,user
REP-000028,COM-000135,ACC-000019,spam,2026-06-04 23:44:40,automated_system
REP-000029,COM-000135,ACC-000019,spam,2026-06-01 09:10:54,trusted_flagger
REP-000030,COM-000135,ACC-000019,spam,2026-06-01 15:05:46,automated_system
REP-000031,COM-000136,ACC-000019,spam,2026-05-24 16:48:58,user
REP-000032,COM-000139,ACC-000019,fake_engagement,2026-05-31 09:24:26,automated_system
REP-000033,COM-000139,ACC-000019,spam,2026-06-01 21:14:16,automated_system
REP-000034,COM-000145,ACC-000019,fake_engagement,2026-05-28 11:26:22,automated_system
REP-000035,COM-000145,ACC-000019,fake_engagement,2026-05-29 08:59:12,user
REP-000036,COM-000148,ACC-000019,fake_engagement,2026-05-25 19:49:50,trusted_flagger
REP-000037,COM-000148,ACC-000019,spam,2026-05-27 01:16:02,trusted_flagger
REP-000038,COM-000148,ACC-000019,spam,2026-05-25 05:00:05,user
REP-000039,COM-000149,ACC-000019,spam,2026-06-04 01:19:11,automated_system
REP-000040,COM-000149,ACC-000019,spam,2026-06-02 23:09:42,trusted_flagger
REP-000041,COM-000152,ACC-000019,fake_engagement,2026-06-02 12:25:04,user
REP-000042,COM-000152,ACC-000019,spam,2026-05-30 23:30:11,user
REP-000043,COM-000153,ACC-000019,spam,2026-05-31 22:54:43,trusted_flagger
REP-000044,COM-000154,ACC-000019,spam,2026-05-29 03:22:24,user
REP-000045,COM-000154,ACC-000019,spam,2026-05-28 21:53:22,user
REP-000046,COM-000154,ACC-000019,fake_engagement,2026-05-30 11:49:02,trusted_flagger
REP-000047,COM-000155,ACC-000019,spam,2026-05-30 17:12:40,automated_system
REP-000048,COM-000157,ACC-000019,fake_engagement,2026-06-02 14:36:13,user
REP-000049,COM-000160,ACC-000019,spam,2026-05-29 01:55:42,user
REP-000050,COM-000164,ACC-000019,spam,2026-05-29 06:36:52,automated_system
REP-000051,COM-000165,ACC-000019,spam,2026-05-28 22:28:33,user
REP-000052,COM-000166,ACC-000019,spam,2026-05-31 20:05:55,user
REP-000053,COM-000168,ACC-000019,fake_engagement,2026-05-29 14:58:03,user
REP-000054,COM-000169,ACC-000019,fake_engagement,2026-05-25 23:13:45,user
REP-000055,COM-000171,ACC-000019,fake_engagement,2026-05-27 13:08:08,user
REP-000056,COM-000172,ACC-000019,fake_engagement,2026-05-24 21:40:08,user
REP-000057,COM-000172,ACC-000019,fake_engagement,2026-05-23 09:45:24,user
REP-000058,COM-000172,ACC-000019,spam,2026-05-24 15:45:36,automated_system
REP-000059,COM-000173,ACC-000019,spam,2026-06-03 22:29:15,user
REP-000060,COM-000174,ACC-000019,spam,2026-06-01 22:02:39,user
REP-000061,COM-000174,ACC-000019,fake_engagement,2026-05-30 18:39:53,user
REP-000062,COM-000175,ACC-000019,fake_engagement,2026-05-27 18:01:23,user
REP-000063,COM-000179,ACC-000019,fake_engagement,2026-05-30 16:40:18,automated_system
REP-000064,COM-000179,ACC-000019,spam,2026-05-30 10:14:41,user
REP-000065,COM-000179,ACC-000019,spam,2026-05-30 23:55:53,trusted_flagger
REP-000066,COM-000181,ACC-000019,spam,2026-06-02 16:58:04,user
REP-000067,COM-000182,ACC-000019,spam,2026-05-30 22:52:43,trusted_flagger
REP-000068,COM-000182,ACC-000019,spam,2026-06-01 14:40:59,user
REP-000069,COM-000182,ACC-000019,fake_engagement,2026-06-01 22:35:49,trusted_flagger
REP-000070,COM-000185,ACC-000021,fake_engagement,2026-06-03 03:28:47,user
REP-000071,COM-000186,ACC-000021,fake_engagement,2026-06-03 19:55:25,user
REP-000072,COM-000186,ACC-000021,spam,2026-06-01 04:50:08,automated_system
REP-000073,COM-000186,ACC-000021,fake_engagement,2026-06-02 04:16:46,user
REP-000074,COM-000186,ACC-000021,spam,2026-06-02 08:17:20,user
REP-000075,COM-000187,ACC-000021,spam,2026-06-03 00:59:51,user
REP-000076,COM-000187,ACC-000021,spam,2026-06-01 06:59:24,user
REP-000077,COM-000188,ACC-000021,spam,2026-06-04 18:25:20,automated_system
REP-000078,COM-000188,ACC-000021,spam,2026-06-01 04:17:43,user
REP-000079,COM-000188,ACC-000021,fake_engagement,2026-06-03 08:14:26,trusted_flagger
REP-000080,COM-000188,ACC-000021,fake_engagement,2026-06-01 20:00:24,user
REP-000081,COM-000188,ACC-000021,fake_engagement,2026-06-02 14:17:51,user
REP-000082,COM-000190,ACC-000021,spam,2026-06-03 17:13:16,user
REP-000083,COM-000190,ACC-000021,spam,2026-06-02 11:49:14,user
REP-000084,COM-000190,ACC-000021,fake_engagement,2026-05-31 20:51:22,user
REP-000085,COM-000190,ACC-000021,spam,2026-06-01 09:49:49,trusted_flagger
REP-000086,COM-000191,ACC-000021,spam,2026-06-01 11:47:23,user
REP-000087,COM-000192,ACC-000021,fake_engagement,2026-06-03 04:22:38,automated_system
REP-000088,COM-000192,ACC-000021,spam,2026-06-04 22:46:50,automated_system
REP-000089,COM-000192,ACC-000021,spam,2026-06-03 05:27:52,trusted_flagger
REP-000090,COM-000192,ACC-000021,spam,2026-06-01 13:19:29,trusted_flagger
REP-000091,COM-000193,ACC-000021,spam,2026-06-03 23:24:02,user
REP-000092,COM-000198,ACC-000021,fake_engagement,2026-06-03 10:15:40,user
REP-000093,COM-000201,ACC-000021,fake_engagement,2026-06-03 13:04:11,automated_system
REP-000094,COM-000203,ACC-000021,spam,2026-06-02 00:28:55,user
